what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1425320665264
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1425320665264
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1425320665264
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1425320665265
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1425320665266
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1425320665267
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1425320665268
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1425320665268
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1425320665268
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1425320665270
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1425320665270
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1425320665270
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1425320665271
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1425320665272
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1425320665272
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1425320665272
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1425320665273
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1425320665273
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1425320665273
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1425320665274
started,bundle,org.eclipse.jdt.core,3.5.1.v_972_R35x,"org.eclipse.jdt.core",1425320665275
started,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1425320665275
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1425320665276
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1425320665277
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1425320665277
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1425320665277
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1425320665277
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1425320665278
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1425320665278
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1425320665279
started,bundle,org.eclipse.pde,3.4.100.v201002111343,"org.eclipse.pde",1425320665279
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1425320665281
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1425320665283
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1425320665285
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1425320665286
os,sysinfo,,,"linux",1425320665288
arch,sysinfo,,,"x86_64",1425320665288
ws,sysinfo,,,"gtk",1425320665288
locale,sysinfo,,,"en_US",1425320665288
processors,sysinfo,,,"4",1425320665288
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1425320665288
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1425320665288
java.specification.name,sysinfo,,,"Java Platform API Specification",1425320665288
java.specification.vendor,sysinfo,,,"Oracle Corporation",1425320665288
java.specification.version,sysinfo,,,"1.7",1425320665288
java.vendor,sysinfo,,,"Oracle Corporation",1425320665288
java.version,sysinfo,,,"1.7.0_45",1425320665288
java.vm.info,sysinfo,,,"mixed mode",1425320665288
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1425320665288
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425320665288
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1425320665288
java.vm.specification.version,sysinfo,,,"1.7",1425320665288
java.vm.vendor,sysinfo,,,"Oracle Corporation",1425320665288
java.vm.version,sysinfo,,,"24.45-b08",1425320665288
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425320714114
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425320737305
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425320739256
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425320745939
started,bundle,org.eclipsercp.samplings,1.0.2.201007162043,"org.eclipsercp.samplings",1425320765698
opened,view,org.eclipsercp.book.tools,,"org.eclipsercp.book.tools.RCPSamplesView",1425320765756
activated,view,org.eclipsercp.book.tools,,"org.eclipsercp.book.tools.RCPSamplesView",1425320765783
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425320774319
activated,view,org.eclipsercp.book.tools,,"org.eclipsercp.book.tools.RCPSamplesView",1425320782789
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1425320784247
opened,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1425320784533
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1425320784580
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1425320810896
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1425320810903
started,bundle,org.eclipse.pde.build,3.5.2.R35x_20100114,"org.eclipse.pde.build",1425320811104
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1425320811119
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1425320811315
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425320918753
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425320920124
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425320920222
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425320920254
