what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.open.external.javadoc",1425408834407
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425408834443
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425408835586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425408839084
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1425408841301
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425408841337
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425408850075
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1425408860430
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1425408879430
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425408890196
opened,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425408890576
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425408890639
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425408896669
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409196321
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409198932
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409216813
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1425409219347
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409219385
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409228670
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1425409236961
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409239002
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425409243887
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425409243914
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425409245938
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425409245957
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425409249486
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409251340
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409272486
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425409274140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409274992
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409279189
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409279355
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1425409282268
closed,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425409282497
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1425409282579
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409282631
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409303036
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409315851
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425409315986
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425409316084
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1425409320164
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425409329962
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409344059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425409351439
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425409351568
